Postcode,Latitude,Longitude
BR12NW,51.405605,0.043800
BR12NX,51.406514,0.048356
BR12NY,51.405233,0.049104
BR12NZ,51.406055,0.050478
BR12PA,51.406892,0.036510
BR12PB,51.410001,0.042832
BR12PD,51.410096,0.041499
BR12PE,51.407532,0.036941
BR12PF,51.407355,0.041420
BR12PG,51.405932,0.040508
BR12PH,51.409306,0.041435
BR12PJ,51.411014,0.042489
BR12PL,51.407967,0.045502
BR12PN,51.407411,0.043349
BR12PP,51.406548,0.041269
BR12PQ,51.408677,0.039322
BR12PR,51.410101,0.030858
BR12PS,51.409580,0.030849
BR12PT,51.405948,0.042133
BR12PU,51.408041,0.033988
BR12PW,51.408556,0.035420
BR12PX,51.409308,0.035093
BR12PY,51.408206,0.040537
BR12PZ,51.410013,0.039065
BR12QA,51.412892,0.040027
BR12QB,51.408924,0.037564
BR12QD,51.412985,0.040837
BR12QE,51.403732,0.035637
BR12QF,51.403588,0.036162
BR12QG,51.403823,0.037150
BR12QH,51.402025,0.037631
BR12QJ,51.401768,0.036369
BR12QL,51.400377,0.035200
BR12QN,51.400198,0.036155
BR12QP,51.410495,0.037720
BR12QQ,51.402894,0.036764
BR12QR,51.408226,0.017604
BR12QS,51.413183,0.044441
BR12QT,51.398253,0.044062
BR12QU,51.408652,0.034575
BR12QW,51.400202,0.037493
BR12QX,51.399386,0.033201
BR12QY,51.400822,0.035435
BR12QZ,51.399958,0.034980
BR12RA,51.399038,0.032021
BR12RB,51.398348,0.034981
BR12RD,51.397947,0.034273
BR12RE,51.398617,0.033454
BR12RF,51.398308,0.033153
BR12RG,51.405615,0.035433
BR12RH,51.405808,0.034190
BR12RJ,51.404386,0.035292
BR12RL,51.404033,0.034385
BR12RN,51.405290,0.033952
BR12RP,51.404459,0.034691
BR12RQ,51.408099,0.043078
BR12RR,51.403878,0.058202
BR12RS,51.403291,0.035128
BR12RT,51.403488,0.033110
BR12RU,51.403788,0.033482
BR12RW,51.404168,0.033327
BR12RX,51.403901,0.031590
BR12RY,51.404136,0.033642
BR12RZ,51.408226,0.017604
BR12SA,51.402284,0.033574
BR12SB,51.402544,0.033657
BR12SD,51.401841,0.035768
BR12SE,51.403281,0.030556
BR12SF,51.404089,0.030117
BR12SG,51.403071,0.029698
BR12SH,51.401660,0.035358
BR12SJ,51.401224,0.034548
BR12SL,51.401587,0.032810
BR12SN,51.401518,0.034172
BR12SP,51.401971,0.032424
BR12SQ,51.402514,0.031729
BR12SR,51.400837,0.033553
BR12SS,51.401022,0.033762
BR12ST,51.406591,0.035145
BR12SU,51.408226,0.017604
BR12SW,51.401965,0.034350
BR12SX,51.409642,0.042284
BR12SY,51.410071,0.040879
BR12SZ,51.409870,0.043113
BR12TA,51.410407,0.042778
BR12TB,51.403939,0.037687
BR12TD,51.413270,0.038951
BR12TE,51.412291,0.036837
BR12TF,51.411323,0.036132
BR12TG,51.409943,0.032720
BR12TH,51.413126,0.037406
BR12TJ,51.403539,0.034363
BR12TL,51.398757,0.054824
BR12TN,51.411897,0.036718
BR12TP,51.403029,0.053764
BR12TQ,51.412148,0.035709
BR12TR,51.405806,0.043076
BR12TS,51.409112,0.033460
BR12TT,51.410054,0.033574
BR12TU,51.392496,0.046767
BR12TW,51.395300,0.057127
BR12TX,51.398436,0.039743
BR12TY,51.392094,0.047109
BR12TZ,51.391802,0.047886
BR12UA,51.411093,0.034842
BR12UB,51.411111,0.037978
BR12UD,51.410344,0.035010
BR12UE,51.400001,0.031417
BR12UF,51.411793,0.038022
BR12UG,51.400524,0.046377
BR12UH,51.402598,0.031057
BR12UJ,51.408747,0.031661
BR12UL,51.402436,0.029986
BR12UN,51.408226,0.017604
BR12UP,51.408226,0.017604
BR12UQ,51.401748,0.042723
BR12UR,51.411093,0.034842
BR12US,51.396376,0.046494
BR12UT,51.408226,0.017604
BR12UU,51.408226,0.017604
BR12UW,51.402436,0.029986
BR12UX,51.408226,0.017604
BR12UY,51.408226,0.017604
BR12UZ,51.408226,0.017604
BR12WA,51.412639,0.042115
BR12WB,51.412391,0.043974
BR12WD,51.399042,0.033344
BR12WE,51.400671,0.044141
BR12WF,51.406651,0.042596
BR12WG,51.412683,0.043757
BR12WH,51.408559,0.032688
BR12WJ,51.396203,0.047680
BR12WL,51.412430,0.044335
BR12WN,51.408226,0.017604
BR12WP,51.397530,0.044792
BR12WQ,51.401815,0.041446
BR12WR,51.412668,0.044604
BR12WS,51.412668,0.044604
BR12WT,51.408226,0.017604
BR12WU,51.408226,0.017604
BR12WW,51.408226,0.017604
BR12WX,51.408226,0.017604
BR12WY,51.407914,0.044435
BR12WZ,51.407914,0.044435
BR12XA,51.408226,0.017604
BR12XB,51.396462,0.055440
BR12XD,51.396462,0.055440
BR12XE,51.399901,0.048032
BR12XF,51.399901,0.048032
BR12XG,51.399901,0.048032
BR12XH,51.408226,0.017604
BR12XJ,51.408226,0.017604
BR12XL,51.408226,0.017604
BR12XN,51.408226,0.017604
BR12XP,51.408226,0.017604
BR12XQ,51.408226,0.017604
BR12XR,51.408226,0.017604
BR12XS,51.408226,0.017604
BR12XT,51.408226,0.017604
BR12XU,51.408226,0.017604
BR12XW,51.408226,0.017604
BR12XX,51.408226,0.017604
BR12XY,51.408226,0.017604
BR12XZ,51.408226,0.017604
BR12YA,51.408226,0.017604
BR12YB,51.408226,0.017604
BR12YD,51.408226,0.017604
BR12YE,51.408226,0.017604
BR12YF,51.408226,0.017604
BR12YG,51.408226,0.017604
BR12YH,51.408226,0.017604
BR12YJ,51.408226,0.017604
BR12YL,51.408226,0.017604
BR12YN,51.408226,0.017604
BR12YP,51.408226,0.017604
BR12YQ,51.408226,0.017604
BR12YR,51.408226,0.017604
BR12YS,51.408226,0.017604
BR12YT,51.408226,0.017604
BR12YU,51.408226,0.017604
BR12YW,51.408226,0.017604
BR12YX,51.408226,0.017604
BR12YY,51.408226,0.017604
BR12YZ,51.408226,0.017604
BR12ZA,51.408226,0.017604
BR12ZB,51.408226,0.017604
BR12ZD,51.408226,0.017604
BR12ZE,51.408226,0.017604
BR12ZF,51.408226,0.017604
BR12ZG,51.408226,0.017604
BR12ZH,51.408226,0.017604
BR12ZJ,51.408226,0.017604
BR12ZL,51.394722,0.059833
BR12ZN,51.394722,0.059833
BR12ZP,51.408226,0.017604
BR12ZQ,51.401748,0.042723
BR12ZR,51.408226,0.017604
BR12ZS,51.408226,0.017604
BR12ZT,51.408226,0.017604
BR12ZU,51.408226,0.017604
BR12ZW,51.394722,0.059833
BR12ZX,51.408226,0.017604
BR12ZY,51.408226,0.017604
BR12ZZ,51.408226,0.017604
BR13AA,51.406881,0.020463
BR13AB,51.407435,0.021753
BR13AD,51.407379,0.023404
BR13AE,51.406878,0.029493
BR13AF,51.407313,0.024091
BR13AG,51.408158,0.024129
BR13AH,51.407234,0.025051
BR13AJ,51.408439,0.026614
BR13AL,51.408491,0.027221
BR13AN,51.406614,0.031782
BR13AP,51.409607,0.027687
BR13AQ,51.408085,0.024686
BR13AR,51.408338,0.030866
BR13AS,51.407533,0.031175
BR13AT,51.407845,0.029737
BR13AU,51.407411,0.030394
BR13AW,51.407194,0.026300
BR13AX,51.406694,0.030793
BR13AY,51.406411,0.032564
BR13AZ,51.406757,0.030293
BR13BA,51.406527,0.026918
BR13BB,51.406517,0.033230
BR13BD,51.406625,0.021257
BR13BE,51.406505,0.028182
BR13BF,51.406251,0.019472
BR13BG,51.406286,0.019028
BR13BH,51.404365,0.029770
BR13BJ,51.406654,0.026348
BR13BL,51.404768,0.028810
BR13BN,51.405656,0.029942
BR13BP,51.406311,0.030072
BR13BQ,51.408226,0.017604
BR13BS,51.405985,0.032271
BR13BT,51.404771,0.032793
BR13BU,51.404957,0.032398
BR13BW,51.405980,0.028892
BR13BX,51.406504,0.027765
BR13BY,51.405388,0.031397
BR13BZ,51.405067,0.030750
BR13DA,51.405017,0.020625
BR13DB,51.404975,0.022018
BR13DD,51.404620,0.022247
BR13DE,51.402174,0.022283
BR13DF,51.401842,0.022239
BR13DG,51.401369,0.024088
BR13DH,51.406973,0.028677
BR13DJ,51.403329,0.024145
BR13DL,51.403268,0.025048
BR13DN,51.404011,0.026792
BR13DP,51.405462,0.025562
BR13DQ,51.401260,0.024658
BR13DR,51.405111,0.026151
BR13DS,51.405273,0.023512
BR13DT,51.405954,0.024161
BR13DU,51.405976,0.021343
BR13DW,51.403701,0.026563
BR13DX,51.405607,0.021370
BR13DY,51.406415,0.029242
BR13DZ,51.405831,0.028196
BR13EA,51.405451,0.017884
BR13EB,51.408226,0.017604
BR13ED,51.407977,0.021604
BR13EE,51.407053,0.023001
BR13EF,51.403444,0.017982
BR13EG,51.405306,0.020049
BR13EH,51.413050,0.023626
BR13EJ,51.401004,0.021785
BR13EL,51.400673,0.021685
BR13EN,51.402546,0.019481
BR13EP,51.400785,0.026650
BR13EQ,51.408226,0.017604
BR13ER,51.400471,0.026089
BR13ES,51.401938,0.028124
BR13ET,51.401336,0.028629
BR13EU,51.402171,0.026625
BR13EW,51.402627,0.019974
BR13EX,51.402080,0.027196
BR13EY,51.408226,0.017604
BR13EZ,51.405390,0.027170
BR13FA,51.408725,0.011586
BR13FB,51.406767,0.030236
BR13FE,51.406825,0.018016
BR13FF,51.408140,0.023596
BR13FG,51.404542,0.026787
BR13FH,51.411327,0.027590
BR13FJ,51.418470,0.035716
BR13FL,51.416944,0.037648
BR13FN,51.408877,0.012111
BR13FP,51.408985,0.012662
BR13FQ,51.413960,0.024011
BR13FR,51.410835,0.026907
BR13FS,51.413468,0.024939
BR13FT,51.410931,0.010346
BR13FU,51.407743,0.020027
BR13FW,51.402671,0.021068
BR13FZ,51.417638,0.037003
BR13GA,51.408226,0.017604
BR13GB,51.408226,0.017604
BR13GD,51.408226,0.017604
BR13GE,51.408226,0.017604
BR13GJ,51.410184,0.012513
BR13GL,51.408226,0.017604
BR13GN,51.409251,0.024364
BR13GP,51.408434,0.018058
BR13GQ,51.408226,0.017604
BR13GR,51.408226,0.017604
BR13GS,51.408226,0.017604
BR13GT,51.405390,0.027170
BR13GU,51.408226,0.017604
BR13GW,51.408226,0.017604
BR13GX,51.405207,0.025795
BR13GY,51.408226,0.017604
BR13GZ,51.408226,0.017604
BR13HA,51.408281,0.019073
BR13HB,51.408353,0.019579
BR13HD,51.408226,0.017604
BR13HE,51.408875,0.019084
BR13HF,51.408740,0.019050
BR13HG,51.407542,0.019687
BR13HH,51.414227,0.022657
BR13HJ,51.408129,0.021640
BR13HL,51.407446,0.020057
BR13HN,51.410241,0.025903
BR13HP,51.408156,0.022691
BR13HQ,51.408550,0.019660
BR13HR,51.409316,0.023231
BR13HS,51.410118,0.026789
BR13HT,51.409636,0.026523
BR13HU,51.410835,0.026922
BR13HW,51.410697,0.026024
BR13HX,51.408416,0.025880
BR13HY,51.410428,0.024948
BR13HZ,51.410614,0.024611
BR13JA,51.409852,0.025526
BR13JB,51.410727,0.023811
BR13JD,51.410343,0.023621
BR13JE,51.412460,0.024995
BR13JF,51.413037,0.025423
BR13JG,51.411150,0.020091
BR13JH,51.408600,0.018325
BR13JJ,51.410680,0.020228
BR13JL,51.411127,0.021441
BR13JN,51.409051,0.018229
BR13JP,51.412489,0.023285
BR13JQ,51.411985,0.025937
BR13JR,51.410747,0.022618
BR13JS,51.411047,0.022459
BR13JT,51.408661,0.020499
BR13JU,51.409951,0.020786
BR13JW,51.413450,0.024952
BR13JX,51.408825,0.020894
BR13JY,51.409810,0.020621
BR13JZ,51.411639,0.025145
BR13LA,51.407160,0.026198
BR13LB,51.410062,0.020632
BR13LD,51.409623,0.022626
BR13LE,51.409210,0.022047
BR13LF,51.409164,0.021614
BR13LG,51.409977,0.021880
BR13LH,51.410078,0.023336
BR13LJ,51.407634,0.022725
BR13LL,51.411371,0.027607
BR13LN,51.410506,0.017301
BR13LP,51.409019,0.015899
BR13LQ,51.412138,0.020163
BR13LR,51.412490,0.019086
BR13LS,51.412017,0.019381
BR13LT,51.412655,0.020445
BR13LU,51.415812,0.024050
BR13LW,51.410627,0.018083
BR13LX,51.415841,0.025015
BR13LY,51.413400,0.023684
BR13LZ,51.413063,0.022332
BR13NA,51.415929,0.023005
BR13NB,51.417880,0.026687
BR13ND,51.414864,0.027934
BR13NE,51.417647,0.025080
BR13NF,51.409078,0.014564
BR13NG,51.415029,0.025640
BR13NH,51.408741,0.015354
BR13NJ,51.408356,0.015222
BR13NL,51.409710,0.023809
BR13NN,51.408270,0.017131
